fraction,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
1,88.0,88.0,70.75,88.0,70.75,88.0,70.75
0.9,88.0,87.85714285714286,71.71428571428571,86.89285714285714,69.46428571428571,53.214285714285715,54.5
0.8,88.0,88.07142857142857,72.35714285714286,86.14285714285714,67.46428571428571,50.57142857142857,51.82142857142857
0.7,88.0,87.89285714285714,72.75,85.64285714285714,66.57142857142857,51.67857142857143,53.57142857142857
0.65,88.0,87.92857142857143,72.42857142857143,84.64285714285714,64.96428571428571,52.392857142857146,53.07142857142857
0.6,88.0,88.17857142857143,70.89285714285714,83.39285714285714,63.642857142857146,52.464285714285715,52.75
0.55,88.0,87.75,72.71428571428571,82.07142857142857,62.964285714285715,52.107142857142854,52.32142857142857
0.5,88.0,87.89285714285714,73.39285714285714,79.75,63.57142857142857,52.964285714285715,51.857142857142854
0.45,88.0,87.42857142857143,73.32142857142857,77.82142857142857,62.17857142857143,52.07142857142857,51.0
0.4,88.0,87.21428571428571,70.89285714285714,78.10714285714286,58.464285714285715,51.5,51.82142857142857
0.35,88.0,87.17857142857143,73.28571428571429,76.07142857142857,56.75,51.42857142857143,50.75
0.3,88.0,87.75,75.03571428571429,73.96428571428571,58.392857142857146,49.857142857142854,49.607142857142854
0.25,88.0,87.78571428571429,76.07142857142857,68.82142857142857,57.785714285714285,48.92857142857143,49.5
0.2,88.0,88.17857142857143,77.03571428571429,66.39285714285714,54.964285714285715,47.714285714285715,50.07142857142857
0.15,88.0,88.0,76.82142857142857,63.714285714285715,53.035714285714285,49.0,48.67857142857143
0.1,88.0,87.53571428571429,76.64285714285714,59.607142857142854,52.964285714285715,50.32142857142857,50.0
0.05,88.0,80.85714285714286,70.53571428571429,55.392857142857146,50.0,52.035714285714285,51.214285714285715
0.01,88.0,66.21428571428571,60.714285714285715,49.964285714285715,51.142857142857146,50.82142857142857,50.892857142857146
0.005,88.0,70.5,65.25,49.892857142857146,51.57142857142857,50.107142857142854,50.714285714285715
0.001,88.0,51.035714285714285,51.035714285714285,51.035714285714285,51.035714285714285,51.035714285714285,51.035714285714285
