fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,7.0,85.64285714285714,49.75,49.75,49.75,49.75,49.75,49.75
0.005,7.0,85.64285714285714,49.75,49.75,49.75,49.75,49.75,49.75
0.01,7.0,85.64285714285714,49.75,49.75,49.75,49.75,49.75,49.75
0.05,7.0,85.64285714285714,49.642857142857146,49.642857142857146,50.5,49.82142857142857,49.67857142857143,49.67857142857143
0.1,7.0,85.64285714285714,49.642857142857146,49.642857142857146,52.785714285714285,51.75,49.96428571428572,49.92857142857143
0.15,7.0,85.64285714285714,49.10714285714285,49.10714285714285,53.285714285714285,51.10714285714285,49.5,49.25
0.2,7.0,85.64285714285714,52.0,55.142857142857146,53.10714285714285,52.5,48.85714285714285,47.92857142857143
0.25,7.0,85.64285714285714,51.32142857142857,51.32142857142857,54.285714285714285,53.92857142857143,49.535714285714285,49.25
0.3,7.0,85.64285714285714,55.67857142857143,51.71428571428572,56.92857142857143,55.71428571428572,54.92857142857143,46.82142857142857
0.35,7.0,85.64285714285714,60.785714285714285,56.96428571428572,57.10714285714285,54.25,49.142857142857146,47.642857142857146
0.4,7.0,85.64285714285714,61.5,64.39285714285714,57.17857142857143,56.32142857142857,49.035714285714285,48.5
0.45,7.0,85.64285714285714,68.89285714285714,68.35714285714286,57.67857142857143,56.92857142857143,50.17857142857143,49.92857142857143
0.5,7.0,85.64285714285714,73.28571428571429,69.67857142857143,59.785714285714285,58.42857142857143,50.642857142857146,51.07142857142857
0.55,7.0,85.64285714285714,80.17857142857143,71.71428571428571,61.71428571428572,57.75,52.392857142857146,51.35714285714285
0.6,7.0,85.64285714285714,80.71428571428571,71.0,65.03571428571429,63.10714285714285,51.75,51.0
0.65,7.0,85.64285714285714,81.28571428571429,69.78571428571429,63.5,60.92857142857143,55.535714285714285,50.96428571428572
0.7,7.0,85.64285714285714,82.92857142857143,68.71428571428571,68.82142857142857,60.5,61.82142857142857,51.642857142857146
0.8,7.0,85.64285714285714,84.85714285714286,68.32142857142857,70.53571428571429,63.57142857142857,71.07142857142857,65.85714285714286
0.9,7.0,85.64285714285714,85.5,67.92857142857143,77.17857142857143,65.17857142857143,74.71428571428571,64.89285714285714
1.0,7.0,85.64285714285714,85.64285714285714,66.35714285714286,85.64285714285714,66.35714285714286,85.64285714285714,66.35714285714286
