fraction,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
1,97.03571428571429,97.03571428571429,91.71428571428571,97.03571428571429,91.71428571428571,97.03571428571429,91.71428571428571
0.9,97.03571428571429,97.14285714285714,91.17857142857143,95.82142857142857,88.89285714285714,90.92857142857143,85.14285714285714
0.8,97.03571428571429,96.89285714285714,93.75,93.10714285714286,87.03571428571429,86.53571428571429,80.57142857142857
0.7,97.03571428571429,96.60714285714286,94.71428571428571,89.10714285714286,82.21428571428571,70.78571428571429,66.71428571428571
0.65,97.03571428571429,96.46428571428571,94.75,87.89285714285714,81.57142857142857,64.85714285714286,63.142857142857146
0.6,97.03571428571429,96.39285714285714,94.25,85.64285714285714,78.78571428571429,61.0,58.75
0.55,97.03571428571429,95.82142857142857,93.96428571428571,83.03571428571429,75.85714285714286,59.285714285714285,58.142857142857146
0.5,97.03571428571429,96.07142857142857,94.5,81.46428571428571,74.28571428571429,57.5,57.75
0.45,97.03571428571429,95.85714285714286,94.71428571428571,77.85714285714286,71.21428571428571,52.464285714285715,53.142857142857146
0.4,97.03571428571429,95.92857142857143,95.0,72.57142857142857,68.10714285714286,57.75,55.0
0.35,97.03571428571429,94.82142857142857,94.64285714285714,72.92857142857143,66.82142857142857,54.57142857142857,53.392857142857146
0.3,97.03571428571429,93.10714285714286,92.71428571428571,68.67857142857143,66.32142857142857,57.857142857142854,54.25
0.25,97.03571428571429,91.39285714285714,88.60714285714286,67.57142857142857,58.642857142857146,49.92857142857143,50.892857142857146
0.2,97.03571428571429,87.75,82.5,60.107142857142854,57.67857142857143,48.42857142857143,47.357142857142854
0.15,97.03571428571429,79.53571428571429,76.82142857142857,60.785714285714285,57.035714285714285,48.214285714285715,47.964285714285715
0.1,97.03571428571429,67.42857142857143,69.28571428571429,56.17857142857143,54.642857142857146,49.42857142857143,49.82142857142857
0.05,97.03571428571429,58.285714285714285,59.607142857142854,52.142857142857146,52.285714285714285,50.964285714285715,50.464285714285715
0.01,97.03571428571429,50.035714285714285,50.035714285714285,50.035714285714285,50.035714285714285,50.035714285714285,50.035714285714285
0.005,97.03571428571429,50.035714285714285,50.035714285714285,50.035714285714285,50.035714285714285,50.035714285714285,50.035714285714285
0.001,97.03571428571429,50.035714285714285,50.035714285714285,50.035714285714285,50.035714285714285,50.035714285714285,50.035714285714285
