fraction,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
1,98.15,98.15,67.8,98.15,67.8,98.15,67.8
0.9,98.15,98.15,63.0,97.7,71.8,50.15,50.0
0.8,98.15,98.05,62.4,97.05,67.1,50.0,50.0
0.7,98.15,97.85,74.85,97.65,72.7,50.0,50.0
0.65,98.15,97.2,82.9,95.8,67.55,50.0,50.0
0.6,98.15,96.25,90.55,95.25,60.8,50.0,50.0
0.55,98.15,94.4,94.25,95.4,65.75,50.0,50.0
0.5,98.15,91.0,95.8,94.95,72.9,50.0,50.0
0.45,98.15,86.15,91.75,94.85,64.55,50.0,50.0
0.4,98.15,79.95,85.3,91.45,70.8,50.0,50.0
0.35,98.15,63.3,59.4,92.25,59.9,50.0,43.1
0.3,98.15,58.7,53.8,88.5,64.8,50.0,40.9
0.25,98.15,53.7,50.5,91.45,65.85,50.0,58.65
0.2,98.15,58.75,51.5,89.0,64.35,50.0,50.0
0.15,98.15,65.05,55.95,83.05,61.5,50.1,50.1
0.1,98.15,65.65,62.7,69.75,60.9,55.05,41.8
0.05,98.15,50.0,50.0,61.15,54.9,50.0,49.95
0.01,98.15,50.0,50.0,52.5,50.95,50.0,50.0
0.005,98.15,50.0,50.0,50.0,50.0,50.0,50.0
0.001,98.15,50.0,50.0,50.0,50.0,50.0,50.0
