fraction,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
1,98.45,98.45,93.5,98.45,93.5,98.45,93.5
0.9,98.45,98.45,93.7,98.25,92.7,74.65,82.45
0.8,98.45,98.4,93.25,97.85,91.3,80.95,83.5
0.7,98.45,98.2,94.4,97.85,91.15,73.95,76.2
0.65,98.45,98.3,95.2,96.45,89.55,70.45,70.4
0.6,98.45,97.85,93.8,95.8,92.25,62.4,55.9
0.55,98.45,97.2,91.05,96.15,89.2,50.1,50.0
0.5,98.45,96.5,88.75,95.55,90.85,50.0,49.95
0.45,98.45,96.35,89.9,92.95,85.8,50.0,50.05
0.4,98.45,95.8,88.7,94.2,80.2,49.7,50.0
0.35,98.45,94.9,87.65,89.35,82.65,49.8,49.85
0.3,98.45,94.75,90.85,86.15,84.15,50.7,56.15
0.25,98.45,93.0,92.15,80.4,77.15,49.9,53.5
0.2,98.45,90.4,90.25,81.25,80.2,49.95,54.6
0.15,98.45,87.85,84.2,77.2,63.85,50.25,50.3
0.1,98.45,76.2,61.5,74.55,69.1,49.75,49.95
0.05,98.45,66.75,59.0,58.3,55.2,51.0,44.85
0.01,98.45,64.6,55.45,48.0,49.3,50.0,50.0
0.005,98.45,50.0,50.0,50.0,50.55,50.0,50.0
0.001,98.45,50.0,50.0,50.0,50.0,50.0,50.0
