fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,3.5,85.57142857142858,48.94642857142857,48.94642857142857,48.94642857142857,48.94642857142857,48.94642857142857,48.94642857142857
0.005,3.5,85.57142857142858,48.94642857142857,48.94642857142857,48.94642857142857,48.94642857142857,48.94642857142857,48.94642857142857
0.01,3.5,85.57142857142858,48.94642857142857,48.94642857142857,48.94642857142857,48.94642857142857,48.94642857142857,48.94642857142857
0.05,3.5,85.57142857142858,79.01785714285714,62.32142857142857,51.17857142857143,49.94642857142857,49.55357142857143,49.21428571428571
0.1,3.5,85.57142857142858,79.89285714285714,59.55357142857143,54.94642857142858,50.60714285714286,49.57142857142858,49.82142857142857
0.15,3.5,85.57142857142858,79.94642857142858,58.64285714285714,58.625,51.375,49.73214285714286,49.60714285714285
0.2,3.5,85.57142857142858,79.78571428571428,58.94642857142858,61.625,51.5,49.48214285714286,49.67857142857143
0.25,3.5,85.57142857142858,82.60714285714286,60.85714285714286,65.0,52.69642857142857,49.57142857142857,50.07142857142857
0.3,3.5,85.57142857142858,82.83928571428572,57.75,66.66071428571428,52.535714285714285,49.48214285714286,49.19642857142857
0.35,3.5,85.57142857142858,83.91071428571428,59.32142857142858,70.25,53.339285714285715,49.82142857142857,48.94642857142857
0.4,3.5,85.57142857142858,84.19642857142857,60.17857142857143,73.23214285714286,53.14285714285714,49.66071428571429,48.92857142857143
0.45,3.5,85.57142857142858,85.33928571428572,60.85714285714286,74.07142857142857,53.98214285714286,49.375,49.32142857142857
0.5,3.5,85.57142857142858,85.33928571428572,60.535714285714285,76.46428571428572,54.32142857142857,49.375,49.05357142857142
0.55,3.5,85.57142857142858,85.33928571428572,60.73214285714286,77.71428571428572,55.67857142857142,49.58928571428571,49.10714285714285
0.6,3.5,85.57142857142858,85.41071428571428,60.33928571428572,79.51785714285714,56.07142857142857,49.42857142857143,49.160714285714285
0.65,3.5,85.57142857142858,85.5,60.80357142857142,80.41071428571428,56.23214285714286,49.535714285714285,49.44642857142858
0.7,3.5,85.57142857142858,85.30357142857143,60.5,81.53571428571428,56.19642857142857,49.23214285714286,48.875
0.8,3.5,85.57142857142858,85.53571428571428,59.92857142857143,83.625,57.32142857142858,49.07142857142857,49.35714285714286
0.9,3.5,85.57142857142858,85.55357142857143,58.892857142857146,84.39285714285714,57.60714285714286,49.285714285714285,49.41071428571429
1.0,3.5,85.57142857142858,85.57142857142858,59.42857142857143,85.57142857142858,59.42857142857143,85.57142857142858,59.42857142857143
