fraction,model,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
0.001,3.5,83.41071428571428,49.80357142857142,49.80357142857142,49.80357142857142,49.80357142857142,49.80357142857142,49.80357142857142
0.005,3.5,83.41071428571428,50.07142857142857,50.07142857142857,49.160714285714285,49.32142857142857,49.76785714285714,49.60714285714286
0.01,3.5,83.41071428571428,51.10714285714286,51.07142857142858,49.44642857142857,49.160714285714285,48.714285714285715,48.94642857142858
0.05,3.5,83.41071428571428,57.55357142857143,56.94642857142857,51.57142857142857,50.767857142857146,48.339285714285715,48.51785714285714
0.1,3.5,83.41071428571428,62.33928571428571,62.125,53.160714285714285,51.55357142857143,49.69642857142858,48.25
0.15,3.5,83.41071428571428,68.14285714285714,66.92857142857142,54.142857142857146,53.0,50.035714285714285,49.28571428571429
0.2,3.5,83.41071428571428,70.58928571428572,68.92857142857143,56.78571428571429,55.214285714285715,50.08928571428572,49.375
0.25,3.5,83.41071428571428,73.42857142857143,71.69642857142857,58.589285714285715,56.91071428571429,50.10714285714286,50.32142857142858
0.3,3.5,83.41071428571428,75.33928571428572,74.78571428571428,60.08928571428572,58.23214285714286,50.285714285714285,50.58928571428571
0.35,3.5,83.41071428571428,77.19642857142858,75.92857142857142,62.42857142857143,60.25,50.60714285714285,50.660714285714285
0.4,3.5,83.41071428571428,79.25,77.46428571428571,64.60714285714286,61.535714285714285,52.76785714285714,51.85714285714286
0.45,3.5,83.41071428571428,80.35714285714286,78.48214285714286,67.21428571428572,63.01785714285714,53.80357142857143,52.625
0.5,3.5,83.41071428571428,80.46428571428572,78.75,68.35714285714286,64.03571428571429,55.92857142857143,54.089285714285715
0.55,3.5,83.41071428571428,80.92857142857143,79.25,70.35714285714286,65.16071428571428,57.410714285714285,56.10714285714286
0.6,3.5,83.41071428571428,81.55357142857143,79.98214285714286,71.48214285714286,66.625,58.91071428571429,57.94642857142857
0.65,3.5,83.41071428571428,82.08928571428572,80.48214285714286,73.58928571428572,68.83928571428572,60.392857142857146,60.214285714285715
0.7,3.5,83.41071428571428,82.44642857142857,80.76785714285714,75.48214285714286,69.73214285714286,64.5,61.910714285714285
0.8,3.5,83.41071428571428,82.875,80.33928571428572,77.64285714285714,72.46428571428572,71.17857142857142,66.82142857142857
0.9,3.5,83.41071428571428,83.28571428571428,79.46428571428571,80.98214285714286,74.85714285714286,75.51785714285714,69.98214285714286
1.0,3.5,83.41071428571428,83.41071428571428,77.14285714285714,83.41071428571428,77.14285714285714,83.41071428571428,77.14285714285714
