fraction,original,smallest,smallest_sign,random,random_sign,largest,largest_sign
1,94.64285714285714,94.64285714285714,87.10714285714286,94.64285714285714,87.10714285714286,94.64285714285714,87.10714285714286
0.9,94.64285714285714,94.42857142857143,87.75,86.5,87.28571428571429,78.21428571428571,86.14285714285714
0.8,94.64285714285714,94.35714285714286,87.85714285714286,79.71428571428571,84.57142857142857,75.17857142857143,86.14285714285714
0.7,94.64285714285714,93.89285714285714,79.53571428571429,72.64285714285714,81.89285714285714,74.46428571428571,86.0
0.65,94.64285714285714,92.85714285714286,73.5,65.5,81.64285714285714,73.46428571428571,88.28571428571429
0.6,94.64285714285714,82.96428571428571,81.32142857142857,69.03571428571429,80.25,81.17857142857143,87.67857142857143
0.55,94.64285714285714,78.78571428571429,82.53571428571429,63.035714285714285,78.25,86.78571428571429,86.60714285714286
0.5,94.64285714285714,76.0,84.57142857142857,58.535714285714285,71.78571428571429,67.89285714285714,68.64285714285714
0.45,94.64285714285714,66.28571428571429,87.03571428571429,61.892857142857146,78.53571428571429,50.142857142857146,51.785714285714285
0.4,94.64285714285714,62.464285714285715,80.39285714285714,59.464285714285715,74.03571428571429,47.42857142857143,63.07142857142857
0.35,94.64285714285714,61.57142857142857,77.10714285714286,57.714285714285715,67.32142857142857,50.142857142857146,64.71428571428571
0.3,94.64285714285714,55.82142857142857,63.464285714285715,62.67857142857143,66.35714285714286,59.214285714285715,62.535714285714285
0.25,94.64285714285714,53.357142857142854,47.464285714285715,50.5,61.464285714285715,66.17857142857143,61.142857142857146
0.2,94.64285714285714,52.607142857142854,52.964285714285715,45.07142857142857,55.92857142857143,57.67857142857143,57.25
0.15,94.64285714285714,51.535714285714285,51.535714285714285,54.857142857142854,58.57142857142857,75.42857142857143,86.0
0.1,94.64285714285714,51.535714285714285,51.535714285714285,50.214285714285715,51.464285714285715,50.142857142857146,68.0
0.05,94.64285714285714,49.857142857142854,49.857142857142854,56.0,51.32142857142857,49.857142857142854,49.857142857142854
0.01,94.64285714285714,49.857142857142854,49.857142857142854,49.857142857142854,49.857142857142854,49.857142857142854,49.857142857142854
0.005,94.64285714285714,49.857142857142854,49.857142857142854,49.857142857142854,49.857142857142854,49.857142857142854,49.857142857142854
0.001,94.64285714285714,49.857142857142854,49.857142857142854,49.857142857142854,49.857142857142854,49.857142857142854,49.857142857142854
