Epoch [4/10], Step [1/88], Loss: 0.0227, Train Acc: 98.44%, Test Acc: 92.00%
Epoch [4/10], Step [2/88], Loss: 0.0278, Train Acc: 98.83%, Test Acc: 91.89%
Epoch [4/10], Step [3/88], Loss: 0.0329, Train Acc: 98.70%, Test Acc: 91.86%
Epoch [4/10], Step [4/88], Loss: 0.0528, Train Acc: 98.63%, Test Acc: 91.71%
Epoch [4/10], Step [5/88], Loss: 0.0876, Train Acc: 98.44%, Test Acc: 91.61%
Epoch [4/10], Step [6/88], Loss: 0.0246, Train Acc: 98.57%, Test Acc: 91.39%
Epoch [4/10], Step [7/88], Loss: 0.0254, Train Acc: 98.77%, Test Acc: 91.39%
Epoch [4/10], Step [8/88], Loss: 0.0328, Train Acc: 98.83%, Test Acc: 91.50%
Epoch [4/10], Step [9/88], Loss: 0.0354, Train Acc: 98.78%, Test Acc: 91.46%
Epoch [4/10], Step [10/88], Loss: 0.0319, Train Acc: 98.75%, Test Acc: 91.43%
Epoch [4/10], Step [11/88], Loss: 0.0305, Train Acc: 98.86%, Test Acc: 91.50%
Epoch [4/10], Step [12/88], Loss: 0.0658, Train Acc: 98.83%, Test Acc: 91.68%
Epoch [4/10], Step [13/88], Loss: 0.0116, Train Acc: 98.92%, Test Acc: 91.64%
Epoch [4/10], Step [14/88], Loss: 0.0355, Train Acc: 98.88%, Test Acc: 91.71%
Epoch [4/10], Step [15/88], Loss: 0.0346, Train Acc: 98.85%, Test Acc: 91.75%
Epoch [4/10], Step [16/88], Loss: 0.0130, Train Acc: 98.93%, Test Acc: 91.71%
Epoch [4/10], Step [17/88], Loss: 0.0835, Train Acc: 98.81%, Test Acc: 91.64%
Epoch [4/10], Step [18/88], Loss: 0.0290, Train Acc: 98.83%, Test Acc: 91.64%
Epoch [4/10], Step [19/88], Loss: 0.0457, Train Acc: 98.81%, Test Acc: 91.54%
Epoch [4/10], Step [20/88], Loss: 0.0355, Train Acc: 98.87%, Test Acc: 91.50%
Epoch [4/10], Step [21/88], Loss: 0.0356, Train Acc: 98.85%, Test Acc: 91.46%
Epoch [4/10], Step [22/88], Loss: 0.0365, Train Acc: 98.83%, Test Acc: 91.46%
Epoch [4/10], Step [23/88], Loss: 0.0146, Train Acc: 98.88%, Test Acc: 91.29%
Epoch [4/10], Step [24/88], Loss: 0.0765, Train Acc: 98.83%, Test Acc: 91.36%
Epoch [4/10], Step [25/88], Loss: 0.0576, Train Acc: 98.78%, Test Acc: 91.32%
Epoch [4/10], Step [26/88], Loss: 0.0286, Train Acc: 98.80%, Test Acc: 91.39%
Epoch [4/10], Step [27/88], Loss: 0.0742, Train Acc: 98.78%, Test Acc: 91.46%
Epoch [4/10], Step [28/88], Loss: 0.0464, Train Acc: 98.77%, Test Acc: 91.46%
Epoch [4/10], Step [29/88], Loss: 0.0181, Train Acc: 98.81%, Test Acc: 91.54%
Epoch [4/10], Step [30/88], Loss: 0.0491, Train Acc: 98.80%, Test Acc: 91.64%
Epoch [4/10], Step [31/88], Loss: 0.0718, Train Acc: 98.69%, Test Acc: 91.79%
Epoch [4/10], Step [32/88], Loss: 0.0382, Train Acc: 98.68%, Test Acc: 91.86%
Epoch [4/10], Step [33/88], Loss: 0.0162, Train Acc: 98.72%, Test Acc: 91.79%
Epoch [4/10], Step [34/88], Loss: 0.0873, Train Acc: 98.69%, Test Acc: 91.75%
Epoch [4/10], Step [35/88], Loss: 0.0309, Train Acc: 98.71%, Test Acc: 91.61%
Epoch [4/10], Step [36/88], Loss: 0.0234, Train Acc: 98.70%, Test Acc: 91.43%
Epoch [4/10], Step [37/88], Loss: 0.0636, Train Acc: 98.63%, Test Acc: 91.36%
Epoch [4/10], Step [38/88], Loss: 0.0406, Train Acc: 98.60%, Test Acc: 91.46%
Epoch [4/10], Step [39/88], Loss: 0.0291, Train Acc: 98.62%, Test Acc: 91.36%
Epoch [4/10], Step [40/88], Loss: 0.0397, Train Acc: 98.63%, Test Acc: 91.18%
Epoch [4/10], Step [41/88], Loss: 0.0358, Train Acc: 98.65%, Test Acc: 91.18%
Epoch [4/10], Step [42/88], Loss: 0.0555, Train Acc: 98.62%, Test Acc: 91.39%
Epoch [4/10], Step [43/88], Loss: 0.0169, Train Acc: 98.66%, Test Acc: 91.39%
Epoch [4/10], Step [44/88], Loss: 0.0192, Train Acc: 98.69%, Test Acc: 91.57%
Epoch [4/10], Step [45/88], Loss: 0.0170, Train Acc: 98.72%, Test Acc: 91.79%
Epoch [4/10], Step [46/88], Loss: 0.0787, Train Acc: 98.69%, Test Acc: 91.89%
Epoch [4/10], Step [47/88], Loss: 0.0660, Train Acc: 98.67%, Test Acc: 91.96%
Epoch [4/10], Step [48/88], Loss: 0.0211, Train Acc: 98.68%, Test Acc: 92.21%
Epoch [4/10], Step [49/88], Loss: 0.0375, Train Acc: 98.68%, Test Acc: 92.25%
Epoch [4/10], Step [50/88], Loss: 0.0500, Train Acc: 98.67%, Test Acc: 92.18%
Epoch [4/10], Step [51/88], Loss: 0.0222, Train Acc: 98.70%, Test Acc: 92.14%
Epoch [4/10], Step [52/88], Loss: 0.0228, Train Acc: 98.71%, Test Acc: 92.32%
Epoch [4/10], Step [53/88], Loss: 0.1063, Train Acc: 98.69%, Test Acc: 92.36%
Epoch [4/10], Step [54/88], Loss: 0.0283, Train Acc: 98.68%, Test Acc: 92.36%
Epoch [4/10], Step [55/88], Loss: 0.0630, Train Acc: 98.68%, Test Acc: 92.29%
Epoch [4/10], Step [56/88], Loss: 0.0474, Train Acc: 98.66%, Test Acc: 92.39%
Epoch [4/10], Step [57/88], Loss: 0.0426, Train Acc: 98.64%, Test Acc: 92.25%
Epoch [4/10], Step [58/88], Loss: 0.0358, Train Acc: 98.63%, Test Acc: 92.29%
Epoch [4/10], Step [59/88], Loss: 0.0258, Train Acc: 98.64%, Test Acc: 92.29%
Epoch [4/10], Step [60/88], Loss: 0.0288, Train Acc: 98.63%, Test Acc: 92.25%
Epoch [4/10], Step [61/88], Loss: 0.0313, Train Acc: 98.63%, Test Acc: 92.43%
Epoch [4/10], Step [62/88], Loss: 0.0136, Train Acc: 98.65%, Test Acc: 92.46%
Epoch [4/10], Step [63/88], Loss: 0.0829, Train Acc: 98.62%, Test Acc: 92.46%
Epoch [4/10], Step [64/88], Loss: 0.0375, Train Acc: 98.62%, Test Acc: 92.32%
Epoch [4/10], Step [65/88], Loss: 0.0309, Train Acc: 98.62%, Test Acc: 92.18%
Epoch [4/10], Step [66/88], Loss: 0.0124, Train Acc: 98.64%, Test Acc: 92.11%
Epoch [4/10], Step [67/88], Loss: 0.0283, Train Acc: 98.65%, Test Acc: 91.82%
Epoch [4/10], Step [68/88], Loss: 0.0956, Train Acc: 98.64%, Test Acc: 91.79%
Epoch [4/10], Step [69/88], Loss: 0.0123, Train Acc: 98.66%, Test Acc: 91.75%
Epoch [4/10], Step [70/88], Loss: 0.0337, Train Acc: 98.66%, Test Acc: 91.68%
Epoch [4/10], Step [71/88], Loss: 0.0367, Train Acc: 98.66%, Test Acc: 91.89%
Epoch [4/10], Step [72/88], Loss: 0.0172, Train Acc: 98.67%, Test Acc: 91.96%
Epoch [4/10], Step [73/88], Loss: 0.0564, Train Acc: 98.66%, Test Acc: 91.89%
Epoch [4/10], Step [74/88], Loss: 0.0642, Train Acc: 98.67%, Test Acc: 91.86%
Epoch [4/10], Step [75/88], Loss: 0.0246, Train Acc: 98.68%, Test Acc: 91.96%
Epoch [4/10], Step [76/88], Loss: 0.0492, Train Acc: 98.66%, Test Acc: 92.25%
Epoch [4/10], Step [77/88], Loss: 0.0389, Train Acc: 98.66%, Test Acc: 92.36%
Epoch [4/10], Step [78/88], Loss: 0.0373, Train Acc: 98.66%, Test Acc: 92.39%
Epoch [4/10], Step [79/88], Loss: 0.1045, Train Acc: 98.63%, Test Acc: 92.29%
Epoch [4/10], Step [80/88], Loss: 0.0273, Train Acc: 98.63%, Test Acc: 92.32%
Epoch [4/10], Step [81/88], Loss: 0.0139, Train Acc: 98.65%, Test Acc: 92.29%
Epoch [4/10], Step [82/88], Loss: 0.0224, Train Acc: 98.66%, Test Acc: 92.11%
Epoch [4/10], Step [83/88], Loss: 0.0098, Train Acc: 98.67%, Test Acc: 92.18%
Epoch [4/10], Step [84/88], Loss: 0.0418, Train Acc: 98.67%, Test Acc: 92.29%
Epoch [4/10], Step [85/88], Loss: 0.0388, Train Acc: 98.67%, Test Acc: 92.29%
Epoch [4/10], Step [86/88], Loss: 0.0089, Train Acc: 98.68%, Test Acc: 92.32%
Epoch [4/10], Step [87/88], Loss: 0.0228, Train Acc: 98.69%, Test Acc: 92.54%
Epoch [4/10], Step [88/88], Loss: 0.0305, Train Acc: 98.70%, Test Acc: 92.43%
