Epoch [9/10], Step [1/88], Loss: 0.0126, Train Acc: 100.00%, Test Acc: 99.18%
Epoch [9/10], Step [2/88], Loss: 0.0136, Train Acc: 100.00%, Test Acc: 99.18%
Epoch [9/10], Step [3/88], Loss: 0.0178, Train Acc: 99.74%, Test Acc: 99.18%
Epoch [9/10], Step [4/88], Loss: 0.0081, Train Acc: 99.80%, Test Acc: 99.18%
Epoch [9/10], Step [5/88], Loss: 0.0673, Train Acc: 99.69%, Test Acc: 99.18%
Epoch [9/10], Step [6/88], Loss: 0.0084, Train Acc: 99.74%, Test Acc: 99.18%
Epoch [9/10], Step [7/88], Loss: 0.0499, Train Acc: 99.67%, Test Acc: 99.18%
Epoch [9/10], Step [8/88], Loss: 0.0783, Train Acc: 99.51%, Test Acc: 99.18%
Epoch [9/10], Step [9/88], Loss: 0.1323, Train Acc: 99.31%, Test Acc: 99.18%
Epoch [9/10], Step [10/88], Loss: 0.0135, Train Acc: 99.38%, Test Acc: 99.18%
Epoch [9/10], Step [11/88], Loss: 0.0090, Train Acc: 99.43%, Test Acc: 99.18%
Epoch [9/10], Step [12/88], Loss: 0.0867, Train Acc: 99.35%, Test Acc: 99.18%
Epoch [9/10], Step [13/88], Loss: 0.0109, Train Acc: 99.40%, Test Acc: 99.18%
Epoch [9/10], Step [14/88], Loss: 0.1171, Train Acc: 99.33%, Test Acc: 99.18%
Epoch [9/10], Step [15/88], Loss: 0.0434, Train Acc: 99.32%, Test Acc: 99.18%
Epoch [9/10], Step [16/88], Loss: 0.0438, Train Acc: 99.32%, Test Acc: 99.18%
Epoch [9/10], Step [17/88], Loss: 0.0071, Train Acc: 99.36%, Test Acc: 99.18%
Epoch [9/10], Step [18/88], Loss: 0.0335, Train Acc: 99.35%, Test Acc: 99.18%
Epoch [9/10], Step [19/88], Loss: 0.0094, Train Acc: 99.38%, Test Acc: 99.18%
Epoch [9/10], Step [20/88], Loss: 0.0539, Train Acc: 99.38%, Test Acc: 99.18%
Epoch [9/10], Step [21/88], Loss: 0.0385, Train Acc: 99.37%, Test Acc: 99.18%
Epoch [9/10], Step [22/88], Loss: 0.1044, Train Acc: 99.33%, Test Acc: 99.18%
Epoch [9/10], Step [23/88], Loss: 0.0091, Train Acc: 99.35%, Test Acc: 99.18%
Epoch [9/10], Step [24/88], Loss: 0.0438, Train Acc: 99.35%, Test Acc: 99.18%
